article;cards_in_group;distinct_external_codes;code;external_code;name;buy_price_rub;ms_id
CLT-M506L/SEE;2;2;;l36fWLk9io-QKPE0i-kEQ3;К-ж SAMSUNG-hp CLT-M506L/SEE пурпурный для CLP-680/CLX-6260 3.5K Magenta S-print by HP (SU307A);64.5213;9b49fd35-3530-11eb-0a80-065300159cad
CLT-R406;2;2;;NtkUJTagh1Hw8SYnWNLnK0;Барабан SAMSUNG CLT-R406 к Samsung CLP-360/365/368/CLX-3300/3305 оригинал;98.5958;9aaa6d3c-3530-11eb-0a80-065300159a01
CLT-R406;2;2;;ZnNy56XFiA7ATxfdzVjLG0;SU403A Барабан hp-SAMSUNG CLT-R406 к Samsung CLP-360/365/368/CLX-3300/3305 оригинал;99.2353;9aa5e7fa-3530-11eb-0a80-0653001599ed
CLT-R607K;2;2;;Uhd--N8Ch830EnSitLiFy2;Барабан Samsung-hp CLT-R607K CLX-9250/52/9350/52 BLACK 75K (SS660A);94.4827;40a1743b-b238-11eb-0a80-09d300529b7f
CLT-R607K;2;2;;Xte8UKElh876VZp7Oln7q3;Барабан Samsung CLT-R607K CLX-9250/52/9350/52 BLACK 75K;103.8462;9aae1f6f-3530-11eb-0a80-065300159a11
CLT-W809/SEE;2;2;;0lkhrALHgEK-I9Oq7duRz0;Бункер CLT-W809/SEE SAMSUNG-hp для CLX-9201/9251/9301 50K (SS704A);0.0;9abe55b1-3530-11eb-0a80-065300159a55
CLT-W809/SEE;2;2;;llMlwEWahUzAKj5TIffw02;Контейнер для отработанного тонера CLT-W809/SEE Samsung CLX-9201/9251/9301 50K;0.0;9b799d5f-3530-11eb-0a80-065300159d76
CLT-Y404S/XEV;2;2;;fXyQ6z4miCIIaVte86gVm3;К-ж Samsung CLT-404-серия желтый для SL-C430/C430W/C480/C480W/C480FW оригинал CLT-Y404S;37.1;9b20e010-3530-11eb-0a80-065300159bfd
CLT-Y404S/XEV;2;2;;JLA8AKWWiMrWhE4A3Ldwm2;К-ж SAMSUNG-hp CLT-404-серия желтый для SL-C430/C430W/C480/C480W/C480FW, S-print by HP (SU452A);37.1;9b3e94e1-3530-11eb-0a80-065300159c7d
CLT-Y406S/SEE;2;2;;77EY8v4Vigm7duLYWfTgz3;К-ж Samsung-hp CLT-Y406S/SEE  CLP-360/365/368/CLX-3300/05 1.0K Yellow S-print by HP (SU464A);40.4976;9b4bbda6-3530-11eb-0a80-065300159cb5
CLT-Y406S/SEE;2;2;;867Ui1AvgXKZ0uoyNkpBi0;К-ж Samsung CLT-406-серия желтый для CLP-360/365/368/CLX-3300/3305  оригинал CLT-Y406S;31.6231;9b24c9ca-3530-11eb-0a80-065300159c0d
CLT-Y506L/SEE;2;2;;0aghf4K4hekNLM-seWgCc1;К-ж Samsung CLP-680-серия увеличенный желтый CLT-Y506L/SEE;64.5213;9b1d26a0-3530-11eb-0a80-065300159bed
CLT-Y506L/SEE;2;2;;vJb9CNAMiIHmX3IMK689w1;К-ж SAMSUNG-hp CLT-Y506L/SEE желтый для CLP-680/CLX-6260 3.5K Yellow S-print by HP (SU517A);64.5213;9b4d8dc6-3530-11eb-0a80-065300159cbd
CS-T31;2;2;5290cs;5290;Картридж лазерный Cactus deli T31 CS-T31 черный (3500стр.) для Deli P3100/M3100;22.7744;febf0069-20c1-11ef-0a80-000b006ddc5d
CS-T31;2;2;7086cs;7086;Картридж лазерный Cactus deli T31 CS-T31 черный (3500стр.) для Deli P3100/M3100;22.7744;51594e53-81c8-11f1-0a80-04d5000adebd
CS-THPCHUBK-100;2;2;7119cs;7119;Тонер Cactus CS-THPCHUBK-100 черный флакон 100гр. для принтера HP Color Universal CF540A/CF400A/CF410A/CF400A/CE310;2.76;84351170-8409-11f1-0a80-100600632ccc
CS-THPCHUBK-100;2;2;7120cs;7120;Тонер Cactus CS-THPCHUBK-100 черный флакон 100гр. для принтера HP Color Universal CF540A/CF400A/CF410A/CF400A/CE310;2.69;85d73e46-842a-11f1-0a80-06960030172b
