offer_id,name,queries,demand,best_pos,mg,in_camp,in_ramp
2050X6,"Комплект фотобарабанов DK-1110 DU (6 шт.) на 600000 страниц для принтеров Kyocera FS-1020MFP, FS 1025MFP, FS1040, FS-1060DN, FS1120MFP, FS 1125MFP",5,45,17,54.51,False,False
6383X2,Комплект картриджей TL-C2310H (2 шт.) на 3200 страниц для принтеров BM2300,8,45,15,45.19,False,False
6182,"Картридж 106R03487 для принтеров Xerox Phaser 6510, WC 6515 желтый",4,45,11,34.46,True,True
6102,"Фотобарабан + картридж TN-1075+DR-1075 для принтеров Brother DCP-1510R, DCP 1512R, HL-1110R, HL-1112R, MFC-1810R, MFC1815 черный",2,44,25,37.13,True,True
3181,"Картридж 106R03487 для принтеров Xerox Phaser 6510, WC 6515 желтый",1,44,27,32.35,True,False
14832,Картридж для Canon MAXIFY MB2050,3,42,13,23.56,True,False
0135,"Картридж CLI-8BK для принтеров Canon Pixma iP3300, PixmaiP3500, Pro9000 Mark II черный",9,42,11,34.82,True,False
2352,"Картриджи 106R03532-106R03535 для принтеров Xerox VersaLink C400, VersaLink C405",10,41,11,33.63,True,True
3617,"Фотобарабан 101R00664 DU для принтеров Xerox B-205, B 210, B215 черный",5,41,21,37.86,True,True
00606,Картридж для Canon i-SENSYS MF5980dw,1,41,20,34.91,True,False
3233X6,"Комплект картриджей CF259X (6 шт.) на 60000 страниц для принтеров HP LaserJet Pro M304, LJ Pro M404",5,41,23,54.54,False,False
02344,Картридж для Panasonic KX-MB2030,2,41,18,22.45,True,False
2965X6,"Комплект фотобарабанов DK-1150 DU (6 шт.) на 600000 страниц для принтеров Kyocera EcoSys M2040dn, M2135, M2540dn, M2635, M2640idw, M2735dw, P2235, P2335d",5,40,11,54.63,False,False
3721X2,"Комплект картриджей 56F5H0E (2 шт.) на 30000 страниц для принтеров Lexmark LaserPrinter MS321, LP MS421, LP MS521",6,40,14,45.4,False,False
14831,Картридж для Canon MAXIFY MB2040,1,40,25,23.58,True,False
0250,Фотобарабан DR-2275 DU для принтеров Brother DCP-7057 черный,1,39,30,33.7,True,False
3480,"Фотобарабан 44315107 DU для принтеров OKI Data C610cdn, DataC610dn голубой",1,39,30,34.42,True,False
3142X10,"Комплект картриджей 50F5000 (10 шт.) на 15000 страниц для принтеров Lexmark LaserPrinter-MS310, LP MS312, LP MS410, LP-MS415",5,39,15,56.13,False,False
5422,"Картриджи 067H с чипом для принтеров Canon LBP631CW, LBP633Cdw, MF651Cw, MF655Cdw, MF657Cdw",3,39,11,28.78,True,True
0194,"Картридж 56 для принтеров HP DeskJet 5150, DeskJet 450cbi, PSC-2175, PSC-2210, DeskJet450wbt, Digital Copier 410, OfficeJet4105, OfficeJet 4110, PhotoSmart 7150, PhotoSmart 7260, PSC-1100 PSC1110",5,39,15,34.74,True,True
6638,"Фотобарабан + картридж 101R00432 +106R01277 (2 ) для принтеров Xerox WorkCentre 5016, WC 5020 черный",7,39,12,21.46,True,True
4899X6,"Комплект картриджей 71B5HK0 (6 шт.) на 36000 страниц для принтеров Lexmark LaserPrinter CS417, LP CS517, LP CX417",5,38,14,54.61,False,False
48023,Картридж для P2507,2,38,14,35.0,True,False
4312,"Картриджи TN-328K-TN-328C для принтеров Konica Minolta Bizhub C250i, C300i, C360i",5,38,12,23.52,True,True
4899X10,"Комплект картриджей 71B5HK0 (10 шт.) на 60000 страниц для принтеров Lexmark LaserPrinter CS417, LP CS517, LP CX417",5,38,11,56.21,False,False
5724,"Фотобарабан PCM247 для принтеров Катюша M247, Р247 черный",3,38,11,35.17,True,True
6383X10,Комплект картриджей TL-C2310H (10 шт.) на 16000 страниц для принтеров BM2300,4,37,16,55.91,False,False
63614,Фотобарабан для Sharp MX-3070N,5,37,12,33.71,True,False
1114X6,"Комплект фотобарабанов 013R00577 DU (6 шт.) на 162000 страниц для принтеров Xerox WorkCentre 315, WC 415, WCP-315, WCP 320",6,36,12,54.39,False,False
