тир;подтверждение;кабинет;артикул;nmID;тип;тек_ВБ_ДхШхВ;тек_объём_л;нов_ДхШхВ;нов_объём_л;занижение_раз;дельта_л;источник;название
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;42644;209763120;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж для Xerox AltaLink C8045
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;42642;209763109;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж для Xerox AltaLink C8030
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;42644A1T92O7;886575941;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж для Xerox AltaLink C8055 26000 страниц
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;42645EIBB5LG;886577326;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж для Xerox AltaLink C8070 26000 страниц
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;42643X5DIW68;886573861;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж для Xerox AltaLink C8045 26000 страниц
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;42642J66IGCF;886571762;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж для Xerox AltaLink C8035 26000 страниц
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;42641V55INV9;886571170;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж для Xerox AltaLink C8030 26000 страниц
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Дисквэр;4264Z4QN2FOC;323316832;ребёнок;47x8x9;3.38;12.5x49.5x12.5;7.73;2.29;4.35;cactus(согл.2);Картридж DS 006R01701 для Xerox C8030, C8030, C8030 черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;7109;1283865333;мать;7x7x19;0.93;32x7.5x8;1.92;2.06;0.99;изи(согл.3);Тонер W1103A для HP 1000a, 1000w, 1200a, 1200w черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;5742;285168186;мать;15x31x9;4.18;14.3x17x35.1;8.53;2.04;4.35;rapid(согл.2);Картридж THM247 для Катюша M247, Р247 черный
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;57421;548876972;ребёнок;15x31x9;4.18;14.3x17x35.1;8.53;2.04;4.35;rapid(согл.2);Картридж для Катюша M247
A1. ядро волны 1: подтверждён ≥2 источниками;≥2 поставщика согласны;Цифровой квадрат;57422;548877451;ребёнок;15x31x9;4.18;14.3x17x35.1;8.53;2.04;4.35;rapid(согл.2);Картридж для Катюша Р247
