account,sku,offer_id,name,campaign,bid_now,ceiling,margin_pct,qty_90d,revenue_90d,reason
oz_acc2,1883139348,3840P9UWJ2ZR,"Чернила DS BT6000BK для принтеров Brother DCP-T300, DCP T500",от 0 до 3000,12.0,6.9,23.5,0,0,маржа ниже KPI
oz_acc2,1883140206,3758AE57XNYX,"Чернила DS GI-490Y для принтеров Canon Pixma G1400, PixmaG14",Все,8.0,5.1,20.9,0,0,маржа ниже KPI
oz_acc2,1883140280,1440ZLVJQQG8,"Картриджи DS TK-570 для принтеров Kyocera ECOSYS P7035cdn, F",Все,8.0,609.6,21.4,0,0,маржа ниже KPI
oz_acc2,1883140720,5413YQUQ56E1,"Чернила DS GI-41Bk для принтеров Canon Pixma G1420, Pixma G2",Все,8.0,8.0,22.9,4,3498,маржа ниже KPI
oz_acc2,1883140720,5413YQUQ56E1,"Чернила DS GI-41Bk для принтеров Canon Pixma G1420, Pixma G2",от 0 до 3000,12.0,8.0,22.9,4,3498,маржа ниже KPI
oz_acc2,1883142110,2548ZM5Y9TK0,Картридж DS 43837136 для принтеров OKI Data-C9655 черный,Все,8.0,357.7,24.9,0,0,маржа ниже KPI
oz_acc2,1883142110,2548ZM5Y9TK0,Картридж DS 43837136 для принтеров OKI Data-C9655 черный,10000-500000,12.0,357.7,24.9,0,0,маржа ниже KPI
oz_acc2,1883142142,2807V7GFLV7Z,"Фотобарабан DS MLT-R709 DU для принтеров Samsung SCX-8123ND,",Все,8.0,944.7,22.5,0,0,маржа ниже KPI
oz_acc2,1883142209,2654AQXH9186,Картриджи DS SPC250 для принтеров Ricoh Aficio SPC250DN,Все,8.0,375.1,23.7,0,0,маржа ниже KPI
oz_acc2,1883142213,0917ORQRMOV1,Картридж DS T1291 черный,Все,6.0,8.2,24.6,1,897,маржа ниже KPI
oz_acc2,1883142213,0917ORQRMOV1,Картридж DS T1291 черный,от 0 до 3000,10.0,8.2,24.6,1,897,маржа ниже KPI
oz_acc2,1883142503,3186RHSEL9OM,"Чернила DS T6734 для принтеров Epson L-1800, L-800, L 805, L",Все,8.0,4.9,20.3,0,0,маржа ниже KPI
oz_acc2,1883142686,1716FOHK9LU3,"Картридж DS TK-865M для принтеров Kyocera TASKalfa 250ci, TA",Все,8.0,175.7,24.7,0,0,маржа ниже KPI
oz_acc2,1883142962,5427WL0SOS3Y,"Фотобарабан DS DK-8115 для принтеров Kyocera EcoSys M8124, M",10000-500000,12.0,320.7,24.9,0,0,маржа ниже KPI
oz_acc2,1883143017,2784CNMKF5MA,Картриджи DS 46507517-46507520 для принтеров OKI C612,Все,8.0,665.9,24.7,0,0,маржа ниже KPI
oz_acc2,1883143120,2181UA34P4HH,"Картриджи DS 040H для принтеров Canon i-SENSYS LBP-710CX, LB",Все,8.0,436.1,24.2,0,0,маржа ниже KPI
oz_acc2,1883143473,4269YOOU2K4F,"Фотобарабан DS 108R01417 DU для принтеров Xerox Phaser 6510,",Все,8.0,211.5,24.8,1,13966,маржа ниже KPI
oz_acc2,1883143473,4269YOOU2K4F,"Фотобарабан DS 108R01417 DU для принтеров Xerox Phaser 6510,",10000-500000,12.0,211.5,24.8,1,13966,маржа ниже KPI
oz_acc2,1883144064,5513S3YNT667,"Картридж DS IU-214C для принтеров Konica Minolta Bizhub 227,",Все,8.0,613.5,21.9,0,0,маржа ниже KPI
oz_acc2,1883144279,0597QFUWYACJ,"Картридж DS LC-1100M для принтеров Brother DCP-145C, DCP 163",Все,6.0,7.0,24.4,0,0,маржа ниже KPI
oz_acc2,1883144451,2238MMGYR2N7,"Картриджи DS TN-230 для принтеров Brother HL-3040CN, HL 3070",Все,8.0,140.7,23.2,0,0,маржа ниже KPI
