nm_id;vendor_code;card_vol_l;real_vol_l;razdutost_x;qty_mo;log_per_fact;save_per_unit;save_per_month;supplier_article
199566067;08261;6.73;5.39;1.25;1;209;40;40;изи: TC-S117S
507535863;6575;0.8;0.14;5.76;2;50;20;39;изи: IC-CCLI-36
216429001;1945;11.1;10.44;1.06;2;285;20;39;profiline: GP_DK-170/DK-1105_Drum
216454486;4751;0.69;0.25;2.71;3;75;13;39;изи: IC-CPG-460XL+CL-461XL_MP
263821935;3842;1.5;0.26;5.7;1;111;37;37;cactus: GG-BT5000M
263821924;3841;1.5;0.26;5.7;1;111;37;37;cactus: GG-BT5000C
291112398;5758;0.65;0.35;1.87;4;50;9;36;cactus: CS-EPT09C14
257945606;5404;5.76;5.17;1.11;2;186;17;35;sakura: SACRG057H-ECO
199330812;2184;1.2;0.08;14.29;1;81;33;33;cactus: GG-F6U16AE
181095689;0297;1.2;0.11;10.91;1;81;33;33;cactus: CS-EPT0801
199330543;0237;3.15;2.07;1.52;1;126;32;32;sakura: SATK1140
236322528;1220;1.2;0.13;9.23;1;81;32;32;cactus: CS-LC525XLM
192227971;0799;1.2;0.13;9.09;1;81;32;32;cactus: CS-C8773
181095718;0928;1.2;0.13;9.02;1;198;32;32;cactus: CS-EPT2631
215239432;0961;1.2;0.14;8.63;1;81;32;32;cactus: CS-CZ132
181095499;0960;1.2;0.14;8.63;1;81;32;32;cactus: CS-CZ131
181095678;0959;1.2;0.14;8.63;1;81;32;32;cactus: CS-CZ130
215239464;0922;1.2;0.14;8.33;1;73;32;32;изи: IC-ET1301
192227973;0326;1.2;0.16;7.59;1;81;31;31;cactus: CS-CD972
192227937;0895;1.2;0.16;7.59;1;81;31;31;cactus: CS-CZ110AE
683621878;3840;1.5;0.47;3.21;1;86;31;31;cactus: GG-BT6000BK
209663306;2705;1.2;0.17;6.86;1;78;31;31;cactus: GG-F6V19AE-N
181097423;0903;1.2;0.2;6.15;1;81;30;30;cactus: CS-LC1240M
181097446;0904;1.2;0.2;6.15;1;81;30;30;cactus: CS-LC1240Y
324983921;2323IY7WMB35;11.1;10.13;1.1;1;375;29;29;изи: TC-RSP277HE
209712718;018214;1.2;0.24;4.96;1;81;29;29;изи: IC-CPG40
209664330;3849;2.25;1.3;1.73;1;105;28;28;cactus: CS-EPT00S14-44A
181115937;1218;1.2;0.26;4.55;1;81;28;28;изи: IC-B529XL-BK
199331139;0737;11.1;10.2;1.09;1;310;27;27;cactus: CS-D205E
294204999;5626;5.75;4.85;1.18;1;186;27;27;cactus: CR-KYTK5380K
199330728;3898;1.2;0.32;3.81;1;81;26;26;cactus: CS-3YL84AE
216422439;1232;1.2;0.34;3.55;1;81;26;26;cactus: CS-LC569XLBK
209663304;0320;0.2;0.03;6.67;5;38;5;25;profiline: CH565A
199335396;4243;7.56;6.71;1.13;1;229;25;25;cactus: CS-XC550BK
192228377;0038;1.0;0.21;4.83;1;54;24;24;изи: IC-CPGI-2400XL C
326847910;0817;1.92;1.16;1.66;1;275;23;23;изи: IC-H177XL_MP
209664427;2300;1.0;0.25;3.95;1;54;22;22;изи: IC-CPG-50+CL-51_MP
209663523;2298;1.0;0.25;3.95;1;140;22;22;изи: IC-CPG-40+CL-41_MP
181115768;1450;0.4;0.16;2.53;3;43;7;22;cactus: CS-CLI471XLY
209655453;3441;1.57;0.85;1.85;1;1386;21;21;cactus: GG-C13T965140
181115945;3109;1.2;0.5;2.4;1;81;21;21;profiline: PL_LC3619XLBK_BK
181052378;0199;0.72;0.03;24.0;1;50;21;21;profiline: CB337HE
566797602;0900;1.0;0.35;2.85;1;138;19;19;cactus: CS-EPT1716
215240259;1684;11.1;10.49;1.06;1;310;18;18;изи: LK-7105
199334834;3370;1.2;0.59;2.04;1;81;18;18;cactus: GG-C13T865140
181120378;4411;0.36;0.26;1.39;6;43;3;18;cactus: CS-CLI426C/M/Y
292510233;5761;0.65;0.35;1.87;2;50;9;18;cactus: CS-EPT09C44
292510369;5762;0.65;0.35;1.87;2;50;9;18;cactus: CS-EPT09C54
263820443;0499;0.4;0.11;3.64;2;42;9;17;cactus: CS-EPT0553
439974378;3083;0.4;0.26;1.52;4;43;4;16;изи: IC-HT6M15A
180939063;0195;0.72;0.19;3.73;1;50;16;16;cactus: CS-C6657
180944663;0198;0.72;0.19;3.73;1;50;16;16;cactus: CS-CB336
199334712;3084;0.4;0.14;2.88;2;43;8;16;изи: IC-HT6M03A
199334702;3086;0.4;0.14;2.88;2;43;8;16;изи: IC-HT6M11A
434635999;3085;0.4;0.16;2.53;2;43;7;14;cactus: CS-T6M07AE
200164368;020026;0.72;0.24;2.98;1;50;14;14;изи: IC-H9351
209752144;5216;1.62;1.18;1.38;1;90;13;13;cactus: CS-S015339
272510418;0130;0.56;0.13;4.38;1;48;13;13;cactus: CS-PGI520BK
192567741;0957;1.0;0.6;1.67;1;53;12;12;изи: IC-H932XL/933XL_MP
199335620;5357;2.7;2.3;1.17;1;115;12;12;изи: LK-100 U
257807190;1253;0.2;0.13;1.56;5;38;2;11;cactus: CS-PGI425BK
262192104;4768;0.31;0.24;1.3;5;42;2;11;cactus: CS-M21-375595WT
209733979;4827;0.53;0.17;3.02;1;49;11;11;cactus: CS-C2P10AE
199566118;02793;11.1;11.0;1.01;3;291;3;9;изи: TC-S205L
292509993;5760;0.65;0.35;1.87;1;50;9;9;cactus: CS-EPT09C34
292510536;5763;0.65;0.35;1.87;1;50;9;9;cactus: CS-EPT09C64
181115853;1449;0.4;0.1;3.96;1;43;9;9;cactus: GG-CLI-471XLM
263820055;0146;0.4;0.11;3.64;1;52;9;9;cactus: CS-EPT0631
209713914;4886;0.53;0.24;2.18;1;48;9;9;изи: IC-H3YM62AE
292614708;5617;0.53;0.25;2.09;1;62;8;8;изи: IC-H653XL_MP
948409587;1445;0.4;0.14;2.88;1;43;8;8;изи: IC-CCLI-36
181115827;1447;0.4;0.16;2.53;1;43;7;7;cactus: CS-CLI471XLC
400980171;5429;4.06;4.0;1.01;4;147;2;7;profiline: PL-TK-1178
181116672;3554;0.4;0.17;2.41;1;43;7;7;изи: IC-CPGI-480PGBK XXL
